,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
358,DAVAO CITY,2004,6069.65,5278,1.149990527
359,COTABATO,2004,1249.29,2545,0.490880157
360,SARANGANI,2004,153.4,230,0.666956522
361,SULTAN KUDARAT,2004,7791.33,10665,0.730551336
362,SOUTH COTABATO,2004,1233.19,733,1.682387449
363,AGUSAN DEL NORTE,2004,329.2,263,1.251711027
364,AGUSAN DEL SUR,2004,362.65,1650,0.219787879
365,SURIGAO DEL NORTE,2004,5.5,10,0.55
366,SURIGAO DEL SUR,2004,3204,2650,1.209056604
367,BASILAN,2004,1785.11,2907,0.614072927
368,LANAO DEL SUR,2004,280.66,2317,0.121130773
369,MAGUINDANAO,2004,2771.78,3430,0.808099125
370,SULU,2004,2451.84,1021,2.401410382
371,ZAMBOANGA DEL NORTE,2005,292.03,369,0.791409214
372,ZAMBOANGA DEL SUR,2005,84.37,123,0.685934959
373,ZAMBOANGA SIBUGAY,2005,62.16,89.89,0.691511848
374,ZAMBOANGA CITY,2005,72.36,42,1.722857143
375,BUKIDNON,2005,4668.76,10450,0.446771292
376,CAMIGUIN,2005,28.66,41,0.69902439
377,LANAO DEL NORTE,2005,216.41,810,0.26717284
378,MISAMIS OCCIDENTAL,2005,3.02,70,0.043142857
379,MISAMIS ORIENTAL,2005,307.3,390,0.787948718
380,DAVAO DE ORO,2005,10703.48,10504,1.018990861
381,DAVAO DEL NORTE,2005,664.64,624,1.065128205
382,DAVAO DEL SUR,2005,3205.95,2905,1.103597246
383,DAVAO ORIENTAL,2005,1378.95,1520,0.907203947
384,DAVAO CITY,2005,6183.35,5229,1.182510996
385,COTABATO,2005,2511.48,2645,0.949519849
386,SARANGANI,2005,187.9,300,0.626333333
387,SULTAN KUDARAT,2005,10706.38,10665,1.003879981
388,SOUTH COTABATO,2005,1049.71,720,1.457930556
389,AGUSAN DEL NORTE,2005,305.84,263,1.162889734
390,AGUSAN DEL SUR,2005,366.87,1500,0.24458
391,SURIGAO DEL NORTE,2005,5.4,10,0.54
392,SURIGAO DEL SUR,2005,2782,2650,1.049811321
393,BASILAN,2005,1741.56,2907,0.599091847
394,LANAO DEL SUR,2005,290.51,2317,0.125381959
395,MAGUINDANAO,2005,3150,3432,0.917832168
396,SULU,2005,2458.94,1021,2.408364349
397,ZAMBOANGA DEL NORTE,2006,320.79,385,0.833220779
398,ZAMBOANGA DEL SUR,2006,78.06,118,0.661525424
399,ZAMBOANGA SIBUGAY,2006,62.57,84.44,0.740999526
400,ZAMBOANGA CITY,2006,64.91,38,1.708157895
401,BUKIDNON,2006,4939.2,10450,0.472650718
402,CAMIGUIN,2006,23.43,36.5,0.641917808
403,LANAO DEL NORTE,2006,213.31,810,0.263345679
404,MISAMIS OCCIDENTAL,2006,2.92,70,0.041714286
405,MISAMIS ORIENTAL,2006,303.93,390,0.779307692
406,DAVAO DE ORO,2006,10597.11,10189,1.04005398
407,DAVAO DEL NORTE,2006,639.98,612,1.045718954
408,DAVAO DEL SUR,2006,3086.73,2905,1.062557659
409,DAVAO ORIENTAL,2006,1367.12,1508,0.906578249
410,DAVAO CITY,2006,6127.43,5203,1.177672497
411,COTABATO,2006,2134.85,2380,0.896995798
412,SARANGANI,2006,205,300,0.683333333
413,SULTAN KUDARAT,2006,11113.98,10665,1.042098453
414,SOUTH COTABATO,2006,889.2,650,1.368
415,AGUSAN DEL NORTE,2006,319.76,260,1.229846154
416,AGUSAN DEL SUR,2006,352.58,1500,0.235053333
417,SURIGAO DEL NORTE,2006,5.75,10,0.575
418,SURIGAO DEL SUR,2006,2066,2350,0.879148936
419,BASILAN,2006,1767.95,2907,0.608169935
420,LANAO DEL SUR,2006,297.5,2317,0.128398792
421,MAGUINDANAO,2006,3141.1,3432,0.915238928
422,SULU,2006,2465.49,1021,2.414779628
423,ZAMBOANGA DEL NORTE,2007,352.39,400,0.880975
424,ZAMBOANGA DEL SUR,2007,62.73,105,0.597428571
425,ZAMBOANGA SIBUGAY,2007,60.06,82,0.732439024
426,ZAMBOANGA CITY,2007,54.05,38,1.422368421
427,BUKIDNON,2007,4955,10450,0.474162679
428,CAMIGUIN,2007,20.28,32,0.63375
429,LANAO DEL NORTE,2007,226.55,810,0.279691358
430,MISAMIS OCCIDENTAL,2007,2.77,67,0.041343284
431,MISAMIS ORIENTAL,2007,295.14,370,0.797675676
432,DAVAO DE ORO,2007,9990.29,10039,0.995147923
433,DAVAO DEL NORTE,2007,626.33,598,1.047374582
434,DAVAO DEL SUR,2007,3023.58,2870,1.053512195
435,DAVAO ORIENTAL,2007,1338.4,1503,0.890485695
436,DAVAO CITY,2007,3582.54,5150,0.695638835
437,COTABATO,2007,1780.81,2370,0.751396624
438,SARANGANI,2007,211,302,0.698675497
439,SULTAN KUDARAT,2007,11660.93,10665,1.093383029
440,SOUTH COTABATO,2007,943.17,790,1.193886076
441,AGUSAN DEL NORTE,2007,390,285,1.368421053
442,AGUSAN DEL SUR,2007,352.7,1455,0.242405498
443,SURIGAO DEL NORTE,2007,11,10,1.1
444,SURIGAO DEL SUR,2007,1993,2100,0.949047619
445,BASILAN,2007,1782.84,2907,0.613292054
446,LANAO DEL SUR,2007,292.9,2440,0.120040984
447,MAGUINDANAO,2007,2884.2,3432,0.840384615
448,SULU,2007,2549.13,1021,2.496699314
449,ZAMBOANGA DEL NORTE,2008,378.42,410,0.92297561
450,ZAMBOANGA DEL SUR,2008,55.28,87,0.635402299
