,Year,Location,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
440,1991,MISAMIS OCCIDENTAL,4,15.3,26.41,85.87,23.79,1007.59,0.17,0.51,27.49,0.36,165.55,69.91,1294.3,1,17.6,100,7.39,116.0,0.063706897
441,1992,MISAMIS OCCIDENTAL,4,14.8,26.41,85.1,23.63,1007.9,0.17,0.54,27.6,0.34,168.16,69.36,1475.3,1,14.8,100,7.12,116.0,0.06137931
442,1993,MISAMIS OCCIDENTAL,4,13.0,26.31,86.51,23.82,1007.73,0.16,0.48,27.36,0.38,158.03,70.66,2112.2,1,14.8,100,10.97,115.0,0.095391304
443,1994,MISAMIS OCCIDENTAL,4,16.1,26.35,86.38,23.83,1007.47,0.16,0.49,27.36,0.4,156.78,68.69,2003.9,1,17.6,100,10.97,115.0,0.095391304
444,1995,MISAMIS OCCIDENTAL,4,15.3,26.37,87.08,24.0,1007.29,0.16,0.46,27.48,0.39,158.94,68.94,1991.4,1,12.2,100,9.97,114.0,0.08745614
445,1996,MISAMIS OCCIDENTAL,4,15.3,26.29,87.17,23.93,1006.67,0.15,0.46,27.3,0.4,146.43,71.78,2947.6,51,12.2,100,9.87,114.0,0.086578947
446,1997,MISAMIS OCCIDENTAL,4,15.3,26.31,85.87,23.69,1008.4,0.16,0.5,27.3,0.38,167.59,65.95,1745.9,1,16.2,100,8.95,114.0,0.078508772
447,1998,MISAMIS OCCIDENTAL,4,14.3,26.85,85.56,24.16,1007.86,0.17,0.53,28.14,0.35,177.65,63.89,1556.1,1,11.2,100,7.69,100.0,0.0769
448,1999,MISAMIS OCCIDENTAL,4,11.2,26.31,87.05,23.92,1006.49,0.15,0.46,27.29,0.41,136.68,73.91,2998.2,1,18.7,100,5.45,100.0,0.0545
449,2000,MISAMIS OCCIDENTAL,4,15.3,26.48,86.51,23.99,1006.29,0.15,0.49,27.42,0.4,141.72,72.99,2241.8,1,15.8,100,6.34,97.0,0.065360825
450,2001,MISAMIS OCCIDENTAL,4,14.8,26.48,86.7,24.02,1006.62,0.16,0.48,27.47,0.4,148.25,70.86,2180.9,1,14.8,100,5.34,97.0,0.055051546
451,2002,MISAMIS OCCIDENTAL,4,14.3,26.38,86.34,23.86,1007.54,0.16,0.49,27.33,0.39,162.84,65.86,1938.2,1,19.4,100,4.16,97.0,0.042886598
452,2003,MISAMIS OCCIDENTAL,4,14.8,26.3,86.82,23.87,1007.49,0.15,0.47,27.33,0.39,149.42,70.15,2405.9,1,15.5,100,3.55,97.0,0.036597938
453,2004,MISAMIS OCCIDENTAL,4,15.3,26.43,86.55,23.95,1007.19,0.16,0.48,27.4,0.38,157.47,68.55,1619.7,1,13.0,100,3.13,90.0,0.034777778
454,2005,MISAMIS OCCIDENTAL,4,12.0,26.39,86.51,23.9,1007.5,0.16,0.48,27.44,0.38,155.44,68.27,2095.0,1,15.8,100,3.02,70.0,0.043142857
455,2006,MISAMIS OCCIDENTAL,4,13.0,26.54,86.42,24.03,1007.15,0.16,0.49,27.46,0.38,151.38,69.76,1908.3,1,19.1,100,2.92,70.0,0.041714286
456,2007,MISAMIS OCCIDENTAL,4,14.3,26.55,86.53,24.07,1006.67,0.16,0.49,27.55,0.38,150.55,69.57,2215.4,1,19.8,100,2.77,67.0,0.041343284
457,2008,MISAMIS OCCIDENTAL,4,13.0,26.42,86.94,24.01,1006.57,0.15,0.47,27.4,0.41,146.05,71.18,2475.9,1,15.1,100,2.9,37.0,0.078378378
458,2009,MISAMIS OCCIDENTAL,4,14.3,26.55,86.84,24.12,1006.61,0.15,0.48,27.46,0.4,145.67,70.66,2577.3,1,16.9,100,3.16,37.0,0.085405405
459,2010,MISAMIS OCCIDENTAL,4,14.8,26.73,86.82,24.3,1007.07,0.16,0.48,27.8,0.38,160.71,68.29,2279.4,1,11.9,100,3.75,37.0,0.101351351
460,2011,MISAMIS OCCIDENTAL,4,13.0,26.39,87.37,24.07,1006.29,0.15,0.45,27.28,0.41,130.07,75.89,3186.0,1,17.6,100,4.24,37.0,0.114594595
461,2012,MISAMIS OCCIDENTAL,4,13.0,26.58,86.61,24.11,1006.61,0.16,0.48,27.51,0.4,148.6,70.76,2281.8,1,19.4,100,4.9,37.0,0.132432432
462,2013,MISAMIS OCCIDENTAL,4,13.0,26.59,86.81,24.16,1006.78,0.15,0.48,27.48,0.4,141.09,71.69,2380.5,1,16.2,100,6.19,37.0,0.167297297
463,2014,MISAMIS OCCIDENTAL,4,8.7,26.4,86.69,23.95,1007.23,0.15,0.48,27.27,0.41,137.06,72.63,2718.7,1,12.6,100,7.63,37.0,0.206216216
464,2015,MISAMIS OCCIDENTAL,4,16.1,26.58,85.73,23.93,1008.06,0.16,0.52,27.55,0.37,162.07,65.91,1890.1,1,15.5,100,8.92,37.0,0.241081081
465,2016,MISAMIS OCCIDENTAL,4,11.5,26.99,86.01,24.39,1007.55,0.16,0.52,28.06,0.36,161.65,67.5,1779.1,1,16.2,100,8.9,37.0,0.240540541
466,2017,MISAMIS OCCIDENTAL,4,15.3,26.72,87.0,24.32,1006.99,0.15,0.47,27.62,0.41,136.65,73.82,2915.9,1,11.9,100,9.25,39.0,0.237179487
467,2018,MISAMIS OCCIDENTAL,4,14.3,26.83,86.09,24.25,1006.95,0.16,0.51,27.8,0.4,155.36,69.02,2106.3,1,20.5,100,11.65,50.0,0.233
468,2019,MISAMIS OCCIDENTAL,4,18.1,26.81,84.86,23.98,1007.86,0.17,0.56,27.79,0.37,164.86,67.03,1540.2,1,13.3,100,14.7,77.0,0.190909091
469,2020,MISAMIS OCCIDENTAL,4,14.8,26.87,86.12,24.3,1007.48,0.16,0.51,27.88,0.39,154.74,69.08,2504.3,1,13.3,100,17.5,80.0,0.21875
470,2021,MISAMIS OCCIDENTAL,4,14.3,26.84,86.52,24.35,1006.93,0.15,0.5,27.72,0.41,139.53,72.48,3151.9,1,13.7,100,20.55,80.0,0.256875
471,1990,MISAMIS ORIENTAL,3,5.4,25.215,84.24000000000001,22.205,972.415,0.16,0.55,26.01,0.375,152.78,69.11500000000001,2003.1,1,9.0,100,761.18,1159.0,0.656755824
472,1991,MISAMIS ORIENTAL,3,4.0,25.075000000000003,85.1,22.275,972.595,0.16,0.51,25.82,0.375,150.63,72.865,1808.95,1,7.9,100,951.48,1159.0,0.820949094
473,1992,MISAMIS ORIENTAL,3,4.0,25.18,83.015,21.89,972.915,0.16,0.59,26.1,0.36,152.54500000000002,72.83,1774.05,1,8.6,100,856.33,1043.0,0.821025887
474,1993,MISAMIS ORIENTAL,3,4.0,24.925,86.16,22.35,972.715,0.155,0.47,25.63,0.405,144.13,72.49,2476.05,1,9.7,100,770.7,938.0,0.821641791
475,1994,MISAMIS ORIENTAL,3,4.0,24.96,85.6,22.26,972.47,0.155,0.49,25.715,0.395,146.55,70.8,2127.15,1,9.0,100,693.62,938.0,0.739466951
476,1995,MISAMIS ORIENTAL,3,4.0,24.92,86.74000000000001,22.455,972.32,0.15,0.4499999999999999,25.76,0.41,143.445,70.67500000000001,3174.05,1,9.4,100,624.26,760.0,0.821394737
477,1996,MISAMIS ORIENTAL,0,4.0,24.795,87.06,22.41,971.69,0.145,0.435,25.630000000000003,0.41,134.19,72.72,3536.9500000000003,51,7.2,100,561.84,684.0,0.821403509
478,1997,MISAMIS ORIENTAL,3,4.0,24.82,85.81,22.17,973.34,0.155,0.48,25.625,0.4,152.73000000000002,67.805,2268.3,1,7.6,100,505.16,684.0,0.738538012
479,1998,MISAMIS ORIENTAL,3,6.5,25.755,82.315,22.24,973.02,0.165,0.635,26.85,0.37,160.82999999999998,66.965,2474.7,1,8.3,100,404.13,492.0,0.821402439
480,1999,MISAMIS ORIENTAL,3,4.0,24.785,87.08500000000001,22.405,971.55,0.14,0.435,25.62,0.425,127.39,73.695,4060.0,1,7.9,100,320.34,390.0,0.821384615
481,2000,MISAMIS ORIENTAL,3,4.0,24.935,86.68,22.465,971.38,0.145,0.455,25.635,0.42,131.31,73.42,3471.75,1,7.9,100,320.34,390.0,0.821384615
482,2001,MISAMIS ORIENTAL,3,5.4,25.05,86.38,22.525,971.685,0.145,0.47,25.68,0.415,134.345,72.87,2691.2,1,8.6,100,314.33,388.0,0.810128866
483,2002,MISAMIS ORIENTAL,3,4.0,25.105,85.755,22.45,972.55,0.155,0.49,25.66,0.405,147.9,68.75,2071.75,1,8.3,100,322.43,390.0,0.82674359
484,2003,MISAMIS ORIENTAL,3,5.4,25.02,86.80000000000001,22.58,972.465,0.145,0.45,25.665,0.405,133.48000000000002,72.435,2685.1,51,9.7,100,342.97,390.0,0.879410256
485,2004,MISAMIS ORIENTAL,3,7.6,25.125,86.49000000000001,22.62,972.215,0.155,0.465,25.745,0.4,145.79000000000002,71.00999999999999,2129.6,1,8.6,100,319.52,390.0,0.819282051
486,2005,MISAMIS ORIENTAL,3,5.4,25.145,86.35,22.615,972.51,0.15,0.47,25.765,0.41,139.64,71.075,2712.75,1,9.0,100,307.3,390.0,0.787948718
487,2006,MISAMIS ORIENTAL,3,4.0,25.31,85.63,22.625,972.22,0.155,0.505,25.785,0.4,142.075,71.27,2325.15,1,7.9,100,303.93,390.0,0.779307692
488,2007,MISAMIS ORIENTAL,3,4.0,25.325,85.935,22.7,971.755,0.15,0.495,25.84,0.405,135.775,71.58500000000001,2986.5,1,7.2,100,295.14,370.0,0.797675676
489,2008,MISAMIS ORIENTAL,3,4.0,25.185,86.16499999999999,22.615,971.655,0.15,0.48,25.705,0.42,133.44,72.75,3522.15,1,9.7,100,314.5,390.0,0.806410256
490,2009,MISAMIS ORIENTAL,3,4.0,25.335,85.485,22.625,971.71,0.145,0.505,25.78,0.395,134.53500000000005,71.355,3100.05,1,8.6,100,344.09,390.0,0.882282051
491,2010,MISAMIS ORIENTAL,3,4.0,25.54,86.11500000000001,22.945,972.195,0.15,0.49,26.205,0.405,146.20499999999998,69.055,3360.25,1,9.0,100,364.0,390.0,0.933333333
492,2011,MISAMIS ORIENTAL,3,4.0,25.245,86.595,22.77,971.375,0.14,0.465,25.72,0.42,119.095,76.18,3669.8,1,9.4,100,354.7,395.0,0.897974684
493,2012,MISAMIS ORIENTAL,3,4.7,25.380000000000003,85.545,22.685,971.735,0.15,0.505,25.815,0.415,134.595,72.60499999999999,2862.15,1,7.9,100,355.0,595.0,0.596638655
494,2013,MISAMIS ORIENTAL,3,4.0,25.425,86.27,22.87,971.885,0.145,0.485,25.855,0.42,130.24,72.38499999999999,3362.9,1,7.9,100,378.54,595.0,0.636201681
495,2014,MISAMIS ORIENTAL,3,4.0,25.195,86.62,22.715,972.255,0.145,0.47,25.665,0.42,126.345,72.985,3298.4,1,9.0,100,368.59,598.0,0.616371237
496,2015,MISAMIS ORIENTAL,3,4.7,25.495,84.86,22.64,973.08,0.155,0.54,26.105,0.385,146.715,68.31,2262.25,1,7.9,100,383.5,620.0,0.618548387
497,2016,MISAMIS ORIENTAL,3,4.7,25.96,83.8,22.85,972.72,0.16,0.5900000000000001,26.595,0.38,146.1,70.43,2541.25,1,8.6,100,390.0,622.0,0.627009646
498,2017,MISAMIS ORIENTAL,3,4.7,25.48,86.67,23.015,972.09,0.14,0.47,26.015,0.425,121.905,74.805,3826.0,1,9.0,100,404.3,622.0,0.65
499,2018,MISAMIS ORIENTAL,3,4.7,25.59,84.75,22.72,972.07,0.155,0.545,26.125,0.395,144.28,70.94,2233.6000000000004,1,7.9,100,406.85,630.0,0.645793651
500,2019,MISAMIS ORIENTAL,3,5.4,25.62,83.44,22.465,972.935,0.155,0.595,26.185,0.38,149.26999999999998,70.52,1996.4,1,8.3,100,411.85,630.0,0.653730159
501,2020,MISAMIS ORIENTAL,3,4.0,25.76,85.09,22.93,972.62,0.15,0.5349999999999999,26.385,0.4,139.42,70.91499999999999,3481.95,1,9.4,100,414.06,630.0,0.657238095
502,2021,MISAMIS ORIENTAL,3,4.0,25.635,85.595,22.93,972.08,0.145,0.52,26.14,0.42,129.03,72.88,3993.65,1,9.0,100,412.37,630.0,0.654555556
503,1990,SARANGANI,0,4.0,26.0,83.62,22.685,991.315,0.1699999999999999,0.64,27.770000000000003,0.4,157.81,70.03,1659.15,1,8.6,100,104.19,108.0,0.964722222
504,1991,SARANGANI,0,4.0,25.92,83.28,22.555,991.555,0.1699999999999999,0.64,27.51,0.39,152.195,74.00999999999999,1495.6,1,9.4,100,102.65,119.0,0.862605042
505,1992,SARANGANI,0,2.2,26.065,81.565,22.255000000000003,991.885,0.1699999999999999,0.72,28.31,0.38,152.16500000000002,75.85,1590.75,1,7.9,100,106.35,131.0,0.811832061
506,1993,SARANGANI,0,4.0,25.605,85.88,22.84,991.71,0.165,0.53,27.075,0.42,148.29500000000002,73.67,1981.5,1,8.3,100,112.83,144.0,0.783541667
507,1994,SARANGANI,0,2.2,25.71,84.745,22.69,991.45,0.165,0.58,27.14,0.42,151.005,71.83500000000001,1781.95,1,10.1,100,85.99,144.0,0.597152778
508,1995,SARANGANI,0,2.2,25.765,85.10499999999999,22.785,991.285,0.16,0.57,27.415,0.41,143.97,73.67,2276.7,1,8.6,100,105.66,144.0,0.73375
509,1996,SARANGANI,6,3.1,25.325,88.15,23.06,990.66,0.155,0.44,26.875,0.45,137.615,75.00999999999999,2768.95,51,6.8,100,167.58,144.0,1.16375
510,1997,SARANGANI,2,3.4,25.615,85.4,22.770000000000003,992.33,0.165,0.54,27.015,0.42,151.49,70.785,1829.25,1,9.7,100,158.26,144.0,1.099027778
511,1998,SARANGANI,0,4.0,26.01,84.51,22.85,992.0,0.165,0.61,27.99,0.4,156.91500000000002,69.155,2041.2,1,10.1,100,211.12,144.0,1.466111111
512,1999,SARANGANI,8,1.3,25.125,89.35,23.11,990.605,0.145,0.39,26.66,0.47,126.06,77.575,3407.8500000000004,2,8.6,100,211.33,144.0,1.467569444
513,2000,SARANGANI,8,1.3,25.19,89.18,23.145,990.43,0.145,0.39,26.65,0.47,125.16,79.2,2784.65,1,7.9,100,153.7,144.0,1.067361111
514,2001,SARANGANI,8,1.3,25.42,88.1,23.15,990.705,0.155,0.44,26.86,0.47,135.45499999999998,76.14500000000001,2313.95,2,8.3,100,173.74,144.0,1.206527778
515,2002,SARANGANI,0,2.9,25.86,84.3,22.73,991.485,0.165,0.6,27.435,0.41,152.69,70.33500000000001,1713.6,1,9.0,100,172.7,144.0,1.199305556
516,2003,SARANGANI,0,1.8,25.69,86.055,22.96,991.365,0.155,0.53,27.255000000000003,0.42,139.005,74.48,2295.35,1,9.0,100,121.83,144.0,0.846041667
517,2004,SARANGANI,12,0.8,25.875,85.33,23.01,991.14,0.165,0.55,27.33,0.41,151.39,71.25999999999999,1742.85,1,10.1,100,153.4,230.0,0.666956522
518,2005,SARANGANI,0,2.2,25.945,84.41,22.805,991.46,0.16,0.6,27.72,0.41,138.515,75.125,2131.55,1,7.9,100,187.9,300.0,0.626333333
519,2006,SARANGANI,8,1.8,25.625,86.78,23.075,991.225,0.155,0.49,26.955,0.45,143.59,72.75999999999999,2038.4,1,8.6,100,205.0,300.0,0.683333333
520,2007,SARANGANI,8,3.1,25.67,86.94,23.125,990.74,0.155,0.49,27.145,0.44,138.16500000000002,74.12,2515.1000000000004,1,8.3,100,211.0,302.0,0.698675497
521,2008,SARANGANI,8,1.8,25.285,88.7,23.145,990.73,0.15,0.41,26.76,0.47,132.84,76.235,2905.8,1,7.9,100,217.0,302.0,0.718543046
522,2009,SARANGANI,12,5.2,25.745,87.16,23.270000000000003,990.655,0.155,0.48,27.045,0.46,137.17000000000002,75.325,2255.4,1,7.9,100,218.75,302.0,0.724337748
523,2010,SARANGANI,0,2.2,26.05,85.37,23.155,991.155,0.165,0.56,27.515,0.42,148.375,70.81,2284.3,1,9.4,100,217.05,305.0,0.711639344
524,2011,SARANGANI,8,1.3,25.39,89.03,23.32,990.4,0.145,0.4,26.825,0.48,122.405,79.015,3190.55,2,8.3,100,219.8,310.0,0.709032258
525,2012,SARANGANI,8,3.1,25.450000000000003,88.24,23.215,990.79,0.155,0.43,26.825,0.47,133.69,75.38,2562.05,1,7.9,100,221.7,312.0,0.710576923
526,2013,SARANGANI,8,2.6,25.54,88.22,23.295,990.875,0.145,0.44,26.85,0.46,130.02,74.76,2897.2,1,8.3,100,225.5,400.0,0.56375
527,2014,SARANGANI,12,0.8,25.78,86.875,23.245,991.135,0.155,0.49,27.125,0.45,136.14,74.15,2419.05,1,7.9,100,227.4,550.0,0.413454545
528,2015,SARANGANI,6,3.1,26.23,83.03,22.815,992.025,0.165,0.66,27.675,0.41,152.06,69.035,1768.4499999999998,1,7.9,100,226.0,550.0,0.410909091
529,2016,SARANGANI,0,1.8,26.625,82.81,23.1,991.605,0.1699999999999999,0.69,28.4,0.41,147.39499999999998,72.27000000000001,2241.05,1,7.9,100,219.5,525.0,0.418095238
530,2017,SARANGANI,11,1.8,25.72,88.6,23.555,991.025,0.145,0.42,27.135,0.47,122.655,77.675,3083.5,1,7.6,100,224.0,530.0,0.422641509
531,2018,SARANGANI,6,1.3,26.35,84.18,23.225,990.96,0.165,0.615,27.47,0.45,150.165,71.175,1898.55,1,9.0,100,237.0,600.0,0.395
532,2019,SARANGANI,6,3.1,26.595,81.16499999999999,22.755000000000003,991.84,0.1699999999999999,0.74,27.855,0.4,152.8,69.79499999999999,1676.6999999999998,1,8.3,100,242.0,600.0,0.403333333
533,2020,SARANGANI,0,1.8,26.145,84.91,23.115,991.515,0.16,0.59,27.71,0.43,144.03,70.66499999999999,2384.8,1,7.9,100,239.75,600.0,0.399583333
534,2021,SARANGANI,8,2.3,25.68,88.3,23.450000000000003,991.015,0.155,0.435,27.130000000000003,0.47,131.825,75.14500000000001,2950.1000000000004,1,7.9,100,244.5,610.0,0.400819672
535,1990,SOUTH COTABATO,4,3.1,24.915,84.775,21.885,974.315,0.16,0.5549999999999999,26.28,0.33,150.44,70.69,1314.5,1,8.3,100,1361.75,955.0,1.42591623
536,1991,SOUTH COTABATO,4,3.1,24.92,83.985,21.72,974.515,0.16,0.585,26.255,0.305,145.33,74.08,985.8,1,9.4,100,1176.18,959.0,1.226465068
537,1992,SOUTH COTABATO,4,3.1,25.13,81.80000000000001,21.355,974.81,0.165,0.685,26.815,0.28,144.33,76.25,1247.6,1,7.9,100,1586.95,960.0,1.653072917
538,1993,SOUTH COTABATO,9,2.4,24.51,86.97999999999999,21.99,974.66,0.15,0.4649999999999999,25.845,0.355,139.52,74.52,1524.6,1,7.2,100,1562.64,960.0,1.62775
539,1994,SOUTH COTABATO,9,2.1,24.47,86.78,21.91,974.475,0.155,0.47,25.82,0.345,142.97,72.4,1511.6,1,8.6,100,1564.33,965.0,1.621067358
540,1995,SOUTH COTABATO,4,3.1,24.685,86.34,22.005,974.24,0.15,0.495,26.065,0.3399999999999999,136.15,73.92,1857.3,1,7.9,100,1512.85,965.0,1.567720207
541,1996,SOUTH COTABATO,13,2.1,24.265,88.85499999999999,22.155,973.665,0.15,0.39,25.7,0.385,128.43,75.9,2039.8,51,6.8,100,1657.25,970.0,1.708505155
542,1997,SOUTH COTABATO,9,2.7,24.48,86.66,21.91,975.275,0.16,0.47,25.86,0.345,143.81,72.16,1219.0,1,7.9,100,1695.04,1045.0,1.622047847
543,1998,SOUTH COTABATO,1,3.4,25.36,82.65,21.71,974.87,0.17,0.675,27.055,0.315,151.28,69.1,1563.0,1,8.6,100,1491.83,1045.0,1.427588517
544,1999,SOUTH COTABATO,9,2.1,24.08,89.70500000000001,22.145,973.605,0.14,0.355,25.525,0.395,119.29,77.47,2578.1,2,7.6,100,1509.73,1045.0,1.444717703
545,2000,SOUTH COTABATO,9,2.1,24.135,89.555,22.18,973.45,0.14,0.36,25.53,0.395,119.82,78.78,2168.3,1,7.6,100,1667.58,1040.0,1.603442308
546,2001,SOUTH COTABATO,10,2.3,24.315,88.81,22.19,973.745,0.15,0.39,25.700000000000003,0.39,128.21,76.47,1849.4,1,8.6,100,1763.05,1040.0,1.695240385
547,2002,SOUTH COTABATO,9,2.1,24.645,86.26,21.985,974.485,0.16,0.49,25.955,0.355,146.18,70.65,1397.0,1,7.6,100,1266.69,732.95,1.728207927
548,2003,SOUTH COTABATO,5,3.4,24.505000000000003,87.855,22.18,974.375,0.15,0.43,25.87,0.37,130.98,74.66,1969.7,1,9.0,100,1413.61,732.95,1.928658162
549,2004,SOUTH COTABATO,9,1.9,24.645,87.18,22.19,974.18,0.15,0.4549999999999999,25.995,0.355,141.41,72.21,1435.1,1,7.2,100,1233.19,733.0,1.682387449
550,2005,SOUTH COTABATO,4,3.1,24.805,85.845,22.01,974.435,0.15,0.515,26.195,0.3399999999999999,131.29,75.11,1615.0,1,7.9,100,1049.71,720.0,1.457930556
551,2006,SOUTH COTABATO,4,3.6,24.485,88.00999999999999,22.205,974.24,0.15,0.42,25.765,0.375,133.58,73.94,1572.5,1,7.9,100,889.2,650.0,1.368
552,2007,SOUTH COTABATO,4,3.1,24.6,87.925,22.285,973.735,0.15,0.43,25.93,0.37,130.23,74.74,1775.7,1,8.3,100,943.17,790.0,1.193886076
553,2008,SOUTH COTABATO,9,2.1,24.255,89.02000000000001,22.185,973.705,0.145,0.38,25.630000000000003,0.395,125.75,76.21,2215.4,1,8.3,100,887.63,855.0,1.038163743
554,2009,SOUTH COTABATO,9,2.7,24.630000000000003,88.01,22.35,973.715,0.15,0.42,25.905,0.385,130.0,76.11,1732.9,1,7.2,100,884.88,983.0,0.900183113
555,2010,SOUTH COTABATO,4,3.1,25.02,86.19,22.32,974.08,0.15,0.505,26.32,0.355,140.86,71.1,1396.9,1,7.2,100,908.82,1094.0,0.830731261
556,2011,SOUTH COTABATO,9,2.4,24.295,89.685,22.365,973.425,0.14,0.36,25.655,0.405,114.46,79.17,2375.3,2,8.6,100,993.35,1141.0,0.870595968
557,2012,SOUTH COTABATO,9,2.1,24.380000000000003,88.83500000000001,22.275,973.82,0.14,0.39,25.685,0.4,125.05,75.45,2007.1,1,7.9,100,995.31,1132.0,0.879249117
558,2013,SOUTH COTABATO,10,2.3,24.46,89.005,22.385,973.905,0.14,0.385,25.75,0.395,122.28,74.42,2524.3,1,8.6,100,1024.75,1166.0,0.878859348
559,2014,SOUTH COTABATO,9,3.4,24.630000000000003,88.185,22.380000000000003,974.185,0.15,0.415,25.925,0.385,127.7,74.83,2010.6,1,7.6,100,1032.68,1188.0,0.869259259
560,2015,SOUTH COTABATO,5,3.4,24.99,85.3,22.11,975.01,0.155,0.535,26.185,0.35,142.69,70.27,1382.0,1,7.6,100,1022.32,1188.0,0.860538721
561,2016,SOUTH COTABATO,4,3.1,25.665,83.20500000000001,22.21,974.595,0.16,0.655,27.035,0.325,138.36,72.49,1892.7,1,8.6,100,572.01,1164.0,0.491417526
562,2017,SOUTH COTABATO,9,1.6,24.635,89.42,22.65,974.07,0.14,0.37,25.975,0.4,115.86,77.95,2466.4,1,7.6,100,587.25,1164.0,0.504510309
563,2018,SOUTH COTABATO,3,2.5,25.24,84.86,22.275,974.01,0.16,0.5549999999999999,26.305,0.36,142.01,71.97,1186.9,1,7.9,100,603.38,1175.0,0.513514894
564,2019,SOUTH COTABATO,4,3.6,25.665,81.0,21.79,974.805,0.16,0.72,26.685,0.3,144.31,70.91,976.3,1,7.6,100,595.97,1195.0,0.498719665
565,2020,SOUTH COTABATO,4,3.1,25.53,83.975,22.265,974.48,0.155,0.615,26.86,0.3299999999999999,136.12,71.3,1730.5,1,7.6,100,587.73,1195.0,0.491824268
566,2021,SOUTH COTABATO,9,2.3,24.82,88.50999999999999,22.64,974.07,0.15,0.41,26.13,0.39,124.42,75.47,2098.4,1,7.2,100,576.91,1201.0,0.480358035
567,1990,SULTAN KUDARAT,10,3.1,19.6125,83.2925,16.52,962.1775,0.14,0.425,21.365,0.35,140.82,66.63749999999999,2064.375,1,12.6,100,4295.31,4424.0,0.97091094
568,1991,SULTAN KUDARAT,13,3.4,19.4925,82.9875,16.345,962.4975,0.1425,0.425,21.4425,0.35,140.6175,69.27499999999999,1933.3,1,10.8,100,5038.33,5777.0,0.872136057
569,1992,SULTAN KUDARAT,10,3.6,18.9375,83.2875,15.88,962.6075,0.14,0.4024999999999999,20.9975,0.35,136.26,71.805,1983.3,51,9.7,100,5725.37,5777.0,0.991062835
570,1993,SULTAN KUDARAT,10,3.1,18.9925,84.285,16.15,962.5175,0.135,0.375,20.9225,0.375,135.17,70.0,2329.6,51,10.1,100,5376.25,5802.0,0.926620131
571,1994,SULTAN KUDARAT,11,1.8,19.0225,84.02,16.1375,962.3725,0.135,0.38,20.9825,0.375,135.685,69.025,2202.725,1,9.4,100,6850.59,6822.0,1.004190853
572,1995,SULTAN KUDARAT,4,3.1,19.3225,84.00500000000001,16.37,961.9175,0.1375,0.3875,21.3975,0.375,134.5975,69.11749999999999,2753.4,51,11.5,100,7604.82,6822.0,1.11474934
573,1996,SULTAN KUDARAT,4,3.1,19.0125,85.2925,16.36,961.6075,0.13,0.3475,21.1075,0.3825,125.51,71.58,3101.775,51,11.2,100,6994.46,7211.0,0.969970878
574,1997,SULTAN KUDARAT,10,3.1,19.03,83.7825,16.0725,962.4875,0.1375,0.3975,21.025,0.3625,140.4675,67.97999999999999,2010.525,51,11.2,100,8694.3,7211.0,1.205699626
575,1998,SULTAN KUDARAT,4,3.1,20.15,82.53,16.8525,962.4775,0.145,0.46,21.9625,0.345,143.04,65.75,2931.9,51,13.7,100,5409.02,7358.0,0.735120957
576,1999,SULTAN KUDARAT,4,1.8,19.29,85.23,16.6175,961.735,0.13,0.35,21.07,0.3874999999999999,121.175,72.0925,3344.625,51,10.1,100,4228.89,10258.0,0.412252876
577,2000,SULTAN KUDARAT,4,3.1,19.025,85.3375,16.395,961.6525,0.1275,0.3425,20.7675,0.39,119.18,72.765,2929.925,51,10.8,100,5209.39,10668.0,0.488319273
578,2001,SULTAN KUDARAT,10,1.3,19.5025,84.8925,16.7525,961.86,0.13,0.37,21.1825,0.385,126.2825,70.9175,2653.925,51,12.6,100,5970.18,10668.0,0.559634421
579,2002,SULTAN KUDARAT,10,2.8,19.4775,83.7275,16.4975,962.325,0.1375,0.405,21.33,0.3675,140.41,67.25,2068.3,1,12.6,100,5970.84,10668.0,0.559696288
580,2003,SULTAN KUDARAT,10,1.8,19.155,84.5675,16.3625,962.14,0.135,0.3725,21.275,0.375,130.195,69.8,2546.5,51,10.4,100,6054.98,10668.0,0.567583427
581,2004,SULTAN KUDARAT,13,3.4,19.1625,84.31,16.3275,962.3775,0.135,0.375,21.2825,0.375,135.3525,68.48,2276.825,51,8.6,100,7791.33,10665.0,0.730551336
582,2005,SULTAN KUDARAT,10,1.3,19.5125,84.1575,16.62,962.39,0.1375,0.3924999999999999,21.485,0.375,131.2825,69.2175,2647.15,51,10.8,100,10706.38,10665.0,1.003879981
583,2006,SULTAN KUDARAT,10,2.6,19.5825,84.9,16.8375,961.9425,0.135,0.375,21.0875,0.3825,127.745,69.3275,2493.95,1,12.6,100,11113.98,10665.0,1.042098453
584,2007,SULTAN KUDARAT,4,3.1,19.4125,84.12,16.505,961.87,0.135,0.3874999999999999,21.34,0.385,129.2175,69.74249999999999,2798.55,51,10.4,100,11660.93,10665.0,1.093383029
585,2008,SULTAN KUDARAT,4,3.1,19.1575,85.6175,16.580000000000002,961.6175,0.13,0.3425,21.2,0.39,123.865,71.5325,3301.45,51,10.1,100,11907.61,10665.0,1.116512893
