year,location,weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
2005, Lanao del Sur,3,21.3851598173516,89.66666666666667,19.495696347031963,0.44908675799086756,897.4108675799087,72.41278538812786,0.13693150684931507,0.2915810502283105,4.5453538812785395,150.09349315068494,18.50769406392694,22.893253424657534,0.4040904109589041,131.11392694063926,70.37716894977169
2006, Lanao del Sur,51,21.33376712328767,90.15901826484018,19.55099315068493,0.4309246575342466,897.200707762557,69.16780821917808,0.13798059360730594,0.27649543378995434,5.196563926940639,149.91244292237442,20.798915525114154,22.73382420091324,0.41159189497716897,135.4683789954338,70.15034246575343
2007, Lanao del Sur,3,21.408333333333335,90.04885844748858,19.599326484018267,0.4610730593607306,896.7735616438357,71.1566210045662,0.1353310502283105,0.2808436073059361,4.90197488584475,145.98470319634703,20.006495433789954,22.860228310502283,0.4116654109589041,128.36906392694064,71.20296803652968
2008, Lanao del Sur,51,21.24124544626594,90.52777777777777,19.52636612021858,0.5335382513661202,896.6516621129326,72.41917122040073,0.13476662112932605,0.2652049180327869,4.6114867941712205,145.40926684881603,19.16967213114754,22.63941256830601,0.41580339253187615,128.03062386156648,71.3025956284153
2009, Lanao del Sur,51,21.38106164383562,90.11472602739725,19.598253424657536,0.4735730593607306,896.7662442922374,71.37739726027397,0.13383447488584477,0.27631621004566215,5.363995433789954,168.61552511415525,21.368173515981738,22.738721461187215,0.40845787671232875,128.1365296803653,70.64394977168949
2010, Lanao del Sur,1,21.798584474885846,89.35616438356165,19.83640410958904,0.4545433789954338,897.2525799086758,68.03264840182648,0.14338470319634702,0.30979794520547943,4.337591324200914,114.44212328767124,18.453904109589043,23.289417808219177,0.4081291095890411,140.9513698630137,67.98949771689497
2011, Lanao del Sur,3,21.261130136986303,91.3615296803653,19.716643835616438,0.5374086757990867,896.419600456621,76.79417808219178,0.12705707762557078,0.2402294520547945,4.739680365296803,159.43002283105022,19.779166666666665,22.61544520547945,0.4192146118721461,112.46655251141553,75.18710045662101
2012, Lanao del Sur,51,21.329895264116573,90.5332422586521,19.626161202185795,0.5049294171220401,896.7930214025502,71.80669398907104,0.13277436247723132,0.264606102003643,5.309813296903461,153.02242714025502,21.708481329690343,22.681785063752276,0.41419228142076503,125.38365209471768,71.99043715846994
2013, Lanao del Sur,3,21.449623287671233,90.59360730593608,19.75166666666667,0.5337899543378996,896.9254223744292,74.27214611872147,0.13111643835616438,0.26515525114155253,4.830616438356164,145.91392694063927,19.931883561643833,22.809303652968037,0.4155785388127854,121.87568493150685,70.97077625570776
2014, Lanao del Sur,3,21.32928082191781,90.52100456621005,19.61656392694064,0.49194063926940634,897.1841095890411,74.80285388127854,0.13071689497716893,0.26443264840182645,4.989360730593607,167.80970319634704,19.807728310502284,22.712431506849313,0.41138630136986304,120.9980593607306,71.94497716894978
2015, Lanao del Sur,3,21.511997716894978,89.31518264840183,19.556792237442924,0.4041666666666667,898.0056278538813,70.57111872146119,0.13929109589041097,0.3029794520547945,4.994280821917808,149.03915525114155,19.673538812785388,22.944349315068493,0.3982787671232877,138.77408675799086,66.962899543379
2016, Lanao del Sur,1,22.031238615664844,88.69148451730419,19.92882513661202,0.4499544626593807,897.8209244080145,67.5796903460838,0.14262067395264116,0.33418829690346086,4.6800546448087434,146.1117941712204,19.401070127504553,23.487033242258654,0.3846363843351548,137.18602003642988,70.0523679417122
2017, Lanao del Sur,[ 3 51],21.581963470319636,91.26963470319635,20.01912100456621,0.5764954337899544,897.16350456621,75.89337899543379,0.12836187214611872,0.2462819634703196,4.708253424657535,154.6087899543379,19.540205479452055,22.939600456621005,0.41829805936073056,114.84189497716895,73.5689497716895
2018, Lanao del Sur,1,21.634851598173515,89.50239726027397,19.724840182648403,0.3963013698630137,897.1735844748858,68.2986301369863,0.1409200913242009,0.2992933789954338,5.003150684931507,161.27374429223744,19.95224885844749,23.112454337899543,0.40600228310502284,138.58778538812786,69.56769406392694
2019, Lanao del Sur,1,21.678173515981733,88.49429223744292,19.554269406392695,0.3643835616438356,897.9445890410958,67.19965753424657,0.1432203196347032,0.3293721461187215,4.91716894977169,154.5332191780822,19.301438356164383,23.138698630136986,0.3981188356164384,141.28002283105022,69.08721461187214
2020, Lanao del Sur,51,21.98375455373406,89.40004553734062,20.029963570127507,0.4677709471766848,897.7064549180328,69.09130236794171,0.13875455373406193,0.3106079234972678,4.365220856102003,134.16632513661202,18.21469717668488,23.4050660291439,0.3972773224043716,132.39230418943535,69.22597905282332
2021, Lanao del Sur,51,21.710787671232875,90.73618721461187,20.04254566210046,0.5597945205479452,897.2134589041096,73.63961187214612,0.13244520547945207,0.26375342465753426,4.576358447488585,150.62671232876713,19.162579908675802,23.043721461187214,0.4151791095890411,122.48755707762557,71.8060502283105
2022, Lanao del Sur,51,21.585764840182648,91.05205479452054,19.977168949771688,0.5950799086757991,896.9030136986302,75.77043378995434,0.1291769406392694,0.253175799086758,4.548401826484018,151.86860730593608,18.059052511415523,22.92969178082192,0.41809474885844744,115.47842465753425,74.0431506849315
