,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
493,971.735,72.60499999999999,2862.15,7.9,0.596638655
494,971.885,72.38499999999999,3362.9,7.9,0.636201681
495,972.255,72.985,3298.4,9.0,0.616371237
496,973.08,68.31,2262.25,7.9,0.618548387
497,972.72,70.43,2541.25,8.6,0.627009646
498,972.09,74.805,3826.0,9.0,0.65
499,972.07,70.94,2233.6000000000004,7.9,0.645793651
500,972.935,70.52,1996.4,8.3,0.653730159
501,972.62,70.91499999999999,3481.95,9.4,0.657238095
502,972.08,72.88,3993.65,9.0,0.654555556
503,991.315,70.03,1659.15,8.6,0.964722222
504,991.555,74.00999999999999,1495.6,9.4,0.862605042
505,991.885,75.85,1590.75,7.9,0.811832061
506,991.71,73.67,1981.5,8.3,0.783541667
507,991.45,71.83500000000001,1781.95,10.1,0.597152778
508,991.285,73.67,2276.7,8.6,0.73375
509,990.66,75.00999999999999,2768.95,6.8,1.16375
510,992.33,70.785,1829.25,9.7,1.099027778
511,992.0,69.155,2041.2,10.1,1.466111111
512,990.605,77.575,3407.8500000000004,8.6,1.467569444
513,990.43,79.2,2784.65,7.9,1.067361111
514,990.705,76.14500000000001,2313.95,8.3,1.206527778
515,991.485,70.33500000000001,1713.6,9.0,1.199305556
516,991.365,74.48,2295.35,9.0,0.846041667
517,991.14,71.25999999999999,1742.85,10.1,0.666956522
518,991.46,75.125,2131.55,7.9,0.626333333
519,991.225,72.75999999999999,2038.4,8.6,0.683333333
520,990.74,74.12,2515.1000000000004,8.3,0.698675497
